MarketID_period,eq_price
191200301,112
191200401,112
191300101,108
191300102,108
191300103,108
191300104,108
191300105,108
191400101,112
191400201,112
191400301,112
191600101,124
191600201,124
191600301,124
191600501,124
191600601,124
191600701,124
191700101,112
191700102,112
191700103,112
191700201,112
191700202,112
191700203,112
191800101,112
191800201,112
191800301,112
191800401,112
191800501,112
191900101,100
192000101,105
192000201,105
192200201,112
192200301,112
192400101,125
192400102,125
192500101,112
192500102,112
192500201,112
192500202,112
192600101,111
192600102,111
192600103,111
192600104,111
192800101,78
192800102,78
192800201,78
192800202,78
192800301,78
192800302,78
192800401,78
192800402,78
192900101,112
192900201,112
192900301,112
193100101,116
193200101,112
193200201,112
193200301,112
193200401,112
193200501,112
193200601,112
193200701,112
193200801,112
193200901,112
193201001,112
193201101,112
193201201,112
193201301,112
193201401,112
193201501,112
193201601,112
193201701,112
193500101,116
193500102,116
193500201,116
193500202,116
193600101,100
193600201,100
193700101,94
193700102,94
193900101,115
194000101,114
194000102,114
194000201,114
194000202,114
194000301,114
194000302,114
194000401,114
194000402,114
194000501,114
194000502,114
194000601,114
194000602,114
194000701,114
194000702,114
194000801,114
194000802,114
194000901,114
194000902,114
194500101,112
194500201,112
194700101,112
194700201,112
194700301,112
194700401,112
194700501,112
194700601,112
194700701,112
194700801,112
194700901,112
194701001,112
194701101,112
194701201,112
194900101,112
194900201,112
194900301,112
195000101,78
195000102,78
195000201,78
195000202,78
195000301,78
195000302,78
195100101,350
195100201,350
195100301,350
195100401,350
195100501,297
195300101,90
195300102,90
195300103,90
195300104,90
195300201,90
195300202,90
195300203,90
195300204,90
195300301,90
195300302,90
195300303,90
195300304,90
195300401,90
195300402,90
195300403,90
195300404,90
195300501,90
195300502,90
195300503,90
195300504,90
195300601,89
195300602,90
195300603,90
195300604,90
195400101,117
195400102,117
195400103,117
195400104,117
195700101,100
195700102,100
195700103,100
195800101,112
195800201,112
195800301,112
195900101,110
195900201,110
195900401,105
196000101,112
196700101,78
196700102,78
196700103,78
196700201,78
196700202,78
196700203,78
196700301,78
196700302,78
196700303,78
196700401,78
196700402,78
196700403,78
196700501,78
196700502,78
196700503,78
196700601,78
196700602,78
196700603,78
196800101,110
196900101,112
196900102,112
196900103,112
196900201,112
196900202,112
196900203,112
197000101,110
197000201,110
197000401,108
197100101,110
197100201,110
197100301,110
197100401,110
197100501,110
197100601,110
197100701,110
197200101,99
197200103,99
197200104,99
197200105,99
197200106,99
197200301,92
197200302,92
197200303,92
197300101,100
197300201,100
197400101,99
197400102,99
197400103,99
197500101,606
197500102,606
197500103,606
197500104,606
197500105,606
197600101,110
197600201,110
197600301,110
197600401,110
197600501,110
197600601,110
197600701,110
197600801,110
197600901,110
197700101,108
197700201,108
197700301,108
197700401,108
197700501,122
197900101,101
198000201,110
198100101,100
198100102,100
198100103,100
198300101,112
198300201,112
198400101,520
198500101,105
198500102,105
198500103,106
198600101,112
198600102,112
198700101,90
198700102,90
198700103,90
198700104,90
198700105,90
198800101,100
198800201,100
198800301,100
198800401,100
198800501,100
198800601,100
198900101,72
198900102,72
198900201,72
198900202,72
199000101,126
199000102,126
199000201,126
199000202,126
199000301,126
199000302,126
199000401,126
199000402,126
199000501,126
199000502,126
199000601,126
199000602,126
199000701,126
199000702,126
199000801,126
199000802,126
199000901,126
199000902,126
199001001,126
199001002,126
199100101,107
199100201,107
199100301,107
199100401,107
199100501,107
199300101,129
199300201,129
199300301,129
199300401,129
199300501,129
199300601,129
199300701,124
199400101,102
199500101,118
199500201,118
199500301,118
199500401,118
199600101,112
199700101,100
199700102,99
199700103,99
199700104,99
199700105,99
199700106,99
199900101,112
199900102,112
199900201,112
199900202,112
200100101,112
200100201,112
200100301,112
200300101,160
200300201,160
200300301,160
200300401,355
201100101,112
201200101,112
201200201,112
201200301,112
201200401,112
201300101,112
201300301,112
201300401,112
201300501,101
201400101,100
201600101,112
201700101,107
201700102,107
201700201,107
